id_discussion,title,link,score,answer_count,view_count,creation_date,tags
48180941,How to send an ERC20 token with web3js,https://stackoverflow.com/questions/48180941/how-to-send-an-erc20-token-with-web3js,16,5,29612,2018/1/10 13:38,"javascript, blockchain, smartcontracts, web3js, erc20"
68450242,I want to know causing a solana transfer error,https://stackoverflow.com/questions/68450242/i-want-to-know-causing-a-solana-transfer-error,10,2,29234,2021/7/20 14:06,solana
68265863,How to compile Java to WASM (WebAssembly)?,https://stackoverflow.com/questions/68265863/how-to-compile-java-to-wasm-webassembly,41,1,28781,2021/7/6 14:55,"java, webassembly"
48877910,How can I return an array of struct in solidity?,https://stackoverflow.com/questions/48877910/how-can-i-return-an-array-of-struct-in-solidity,13,3,28081,2018/2/20 12:34,"algorithm, data-structures, ethereum, solidity, smartcontracts"
45535301,Can I read files from the disk by using Webassembly?,https://stackoverflow.com/questions/45535301/can-i-read-files-from-the-disk-by-using-webassembly,31,2,27331,2017/8/7 2:34,"c++, emscripten, webassembly"
37606839,How to return mapping list in Solidity? (Ethereum contract),https://stackoverflow.com/questions/37606839/how-to-return-mapping-list-in-solidity-ethereum-contract,25,4,25964,2016/6/3 13:52,"blockchain, ethereum, solidity, smartcontracts"
69848319,Unable to specify `edition2021` in order to use unstable packages in Rust,https://stackoverflow.com/questions/69848319/unable-to-specify-edition2021-in-order-to-use-unstable-packages-in-rust,43,5,23975,2021/11/5 11:15,"rust, substrate, polkadot"
73139649,You installed esbuild on another platform than the one you&#39;re currently using,https://stackoverflow.com/questions/73139649/you-installed-esbuild-on-another-platform-than-the-one-youre-currently-using,21,6,23905,2022/7/27 22:19,"docker, npm, docker-compose, dockerfile, svelte"
69860302,TypeError: Cannot read properties of undefined (reading &#39;path&#39;),https://stackoverflow.com/questions/69860302/typeerror-cannot-read-properties-of-undefined-reading-path,3,3,22742,2021/11/6 7:34,"node.js, solana, nft"
41875728,Pass a JavaScript array as argument to a WebAssembly function,https://stackoverflow.com/questions/41875728/pass-a-javascript-array-as-argument-to-a-webassembly-function,28,2,22672,2017/1/26 22:28,"javascript, c++, browser, emscripten, webassembly"
49291445,What is the of use Web3.providers.HttpProvider(&quot;&quot;),https://stackoverflow.com/questions/49291445/what-is-the-of-use-web3-providers-httpprovider,16,3,22338,2018/3/15 12:10,"ethereum, web3js, go-ethereum"
48694192,contract has not been deployed to detected network (network/artifact mismatch) on Rinkeby Network,https://stackoverflow.com/questions/48694192/contract-has-not-been-deployed-to-detected-network-network-artifact-mismatch-o,10,8,22165,2018/2/9 4:24,"ethereum, smartcontracts, truffle, consensys-truffle"
55407886,Reading server-side files using Blazor,https://stackoverflow.com/questions/55407886/reading-server-side-files-using-blazor,6,4,22119,2019/3/29 6:38,"c#, web, .net-core, webassembly, blazor"
70257820,"MetaMask - RPC Error: execution reverted {code: -32000, message: &#39;execution reverted&#39;} while trying to connect to smart contract",https://stackoverflow.com/questions/70257820/metamask-rpc-error-execution-reverted-code-32000-message-execution-reve,5,3,20757,2021/12/7 17:41,"ethereum, solidity, ethers.js"
52102612,Is it possible to submit HTTP requests with WebAssembly?,https://stackoverflow.com/questions/52102612/is-it-possible-to-submit-http-requests-with-webassembly,19,3,20612,2018/8/31 1:34,"c, http, xmlhttprequest, emscripten, webassembly"
50191996,Why am I getting this error ? &quot;Gas estimation errored with the following message (see below). The transaction &gt; execution will likely fail&quot;,https://stackoverflow.com/questions/50191996/why-am-i-getting-this-error-gas-estimation-errored-with-the-following-message,3,3,20538,2018/5/6 1:05,"blockchain, ethereum, smartcontracts, remix"
69245982,Import phantom wallet private key into solana CLI,https://stackoverflow.com/questions/69245982/import-phantom-wallet-private-key-into-solana-cli,23,3,20454,2021/9/20 2:22,"solana, solana-cli"
68198724,How would I send an eth value to specific smart contract function that is payable in ethers.js?,https://stackoverflow.com/questions/68198724/how-would-i-send-an-eth-value-to-specific-smart-contract-function-that-is-payabl,23,1,19846,2021/7/1 0:47,"node.js, ethereum, solidity, ethers.js"
64583461,How to use Skia / CanvasKit in Flutter Web?,https://stackoverflow.com/questions/64583461/how-to-use-skia-canvaskit-in-flutter-web,15,4,19658,2020/10/29 9:02,"flutter, dart, flutter-web, skia, canvaskit"
47879864,How can I check if a browser supports WebAssembly?,https://stackoverflow.com/questions/47879864/how-can-i-check-if-a-browser-supports-webassembly,36,3,19520,2017/12/19 12:04,"browser, webassembly"
48547268,Smart contract method is not a function in web3,https://stackoverflow.com/questions/48547268/smart-contract-method-is-not-a-function-in-web3,5,4,18511,2018/2/1 0:47,"javascript, ethereum, solidity, web3js"
67317392,How to transfer a NFT from one account to another using ERC721?,https://stackoverflow.com/questions/67317392/how-to-transfer-a-nft-from-one-account-to-another-using-erc721,8,3,18399,2021/4/29 20:29,"ethereum, blockchain, solidity, smartcontracts, nft"
22745457,Import data from txt file into C program,https://stackoverflow.com/questions/22745457/import-data-from-txt-file-into-c-program,0,1,18343,2014/3/30 22:55,"c, file-io"
70224185,How to transfer custom SPL token by &#39;@solana/web3.js&#39; and &#39;@solana/sol-wallet-adapter&#39;,https://stackoverflow.com/questions/70224185/how-to-transfer-custom-spl-token-by-solana-web3-js-and-solana-sol-wallet-ad,20,6,18170,2021/12/4 16:41,"javascript, cryptography, token, solana"
65823598,Questions about gRPC support in web browsers and how they utilize HTTP2,https://stackoverflow.com/questions/65823598/questions-about-grpc-support-in-web-browsers-and-how-they-utilize-http2,23,1,18049,2021/1/21 16:31,"google-chrome, grpc, http2"
56812167,AWS Glue Job getting Access Denied when writing to S3,https://stackoverflow.com/questions/56812167/aws-glue-job-getting-access-denied-when-writing-to-s3,4,7,17770,2019/6/29 3:14,"amazon-web-services, amazon-s3, aws-glue"
68168566,How do I listen to events from a smart contract using ethers.js contract.on() in a node.js application?,https://stackoverflow.com/questions/68168566/how-do-i-listen-to-events-from-a-smart-contract-using-ethers-js-contract-on-in,5,2,17474,2021/6/29 2:40,"javascript, node.js, ethers.js, hardhat"
64951267,Unhandled Rejection (Error): call revert exception,https://stackoverflow.com/questions/64951267/unhandled-rejection-error-call-revert-exception,6,8,17377,2020/11/22 14:25,"reactjs, frontend, ethereum, solidity, erc20"
53976057,Source file requires different compiler version : Truffle,https://stackoverflow.com/questions/53976057/source-file-requires-different-compiler-version-truffle,6,5,17285,2018/12/30 15:58,"blockchain, ethereum, solidity, smartcontracts, truffle"
40417774,Memory limits in webassembly,https://stackoverflow.com/questions/40417774/memory-limits-in-webassembly,23,3,17279,2016/11/4 16:00,"memory, browser, webassembly"
42770231,CompileError: WebAssembly.compile(),https://stackoverflow.com/questions/42770231/compileerror-webassembly-compile,7,5,17124,2017/3/14 1:50,"google-chrome, webassembly"
48173979,Why is webAssembly function almost 300 time slower than same JS function,https://stackoverflow.com/questions/48173979/why-is-webassembly-function-almost-300-time-slower-than-same-js-function,30,3,17106,2018/1/10 1:49,"javascript, performance, webassembly"
52738793,How to get Smart Contract address when it is deployed with web3.js,https://stackoverflow.com/questions/52738793/how-to-get-smart-contract-address-when-it-is-deployed-with-web3-js,9,4,17057,2018/10/10 19:05,"node.js, ethereum, smartcontracts, web3js"
51681604,Expected Primary Expression (Solidity),https://stackoverflow.com/questions/51681604/expected-primary-expression-solidity,4,1,17007,2018/8/4 9:00,"mapping, ethereum, solidity, smartcontracts"
53353167,npm solc: AssertionError [ERR_ASSERTION]: Invalid callback specified,https://stackoverflow.com/questions/53353167/npm-solc-assertionerror-err-assertion-invalid-callback-specified,24,15,16845,2018/11/18 0:29,"node.js, npm, ethereum, solidity"
61138618,How to read information from ethereum transaction using transactionHash in web3?,https://stackoverflow.com/questions/61138618/how-to-read-information-from-ethereum-transaction-using-transactionhash-in-web3,3,3,16722,2020/4/10 18:43,"ethereum, blockchain, smartcontracts, web3js"
68513645,Error connecting to localhost after npm hardhat run,https://stackoverflow.com/questions/68513645/error-connecting-to-localhost-after-npm-hardhat-run,9,9,16613,2021/7/25 4:37,"ethereum, ethers.js, hardhat"
59550963,Multithreading in WebAssembly,https://stackoverflow.com/questions/59550963/multithreading-in-webassembly,10,1,16448,2020/1/1 16:18,"multithreading, emscripten, webassembly, wasm-bindgen"
71765550,Module not found: Error: Can&#39;t resolve &#39;fs&#39; react js,https://stackoverflow.com/questions/71765550/module-not-found-error-cant-resolve-fs-react-js,5,1,16233,2022/4/6 18:59,"javascript, node.js, reactjs, npm, webpack"
67511692,How to receive and send USDT in a smart contract?,https://stackoverflow.com/questions/67511692/how-to-receive-and-send-usdt-in-a-smart-contract,13,2,16063,2021/5/13 6:22,"ethereum, solidity"
67118358,Solidity function implementing `public onlyOwner` cannot be called even by the owner,https://stackoverflow.com/questions/67118358/solidity-function-implementing-public-onlyowner-cannot-be-called-even-by-the-o,7,3,15944,2021/4/16 10:34,"ethereum, solidity, ether"
56691391,Dynamic loading of external modules in webpack fails,https://stackoverflow.com/questions/56691391/dynamic-loading-of-external-modules-in-webpack-fails,17,1,15924,2019/6/21 1:48,"javascript, reactjs, webpack, module, dynamic-import"
68236211,How to transfer custom token by &#39;@solana/web3.js&#39;,https://stackoverflow.com/questions/68236211/how-to-transfer-custom-token-by-solana-web3-js,20,3,15810,2021/7/3 20:20,solana
63104080,Getting UserId of current user Blazor webassembly,https://stackoverflow.com/questions/63104080/getting-userid-of-current-user-blazor-webassembly,4,3,15292,2020/7/27 2:26,"entity-framework, asp.net-core, blazor, blazor-client-side, blazor-webassembly"
21580705,ORA-00904: invalid identifier in subquery,https://stackoverflow.com/questions/21580705/ora-00904-invalid-identifier-in-subquery,4,2,15285,2014/2/5 22:59,"sql, oracle"
63074021,How to read files from a directory in Blazor WebAssembly,https://stackoverflow.com/questions/63074021/how-to-read-files-from-a-directory-in-blazor-webassembly,1,1,15263,2020/7/24 20:56,"c#, file, asp.net-core, blazor, webassembly"
60793727,Failed to load PDF file in React js,https://stackoverflow.com/questions/60793727/failed-to-load-pdf-file-in-react-js,5,1,14808,2020/3/22 5:57,"javascript, reactjs, this, ipfs, react-pdf"
44097584,WebAssembly LinkError: function import requires a callable,https://stackoverflow.com/questions/44097584/webassembly-linkerror-function-import-requires-a-callable,16,2,14620,2017/5/21 21:41,"javascript, c, webassembly"
45260216,Emscripten - cmake - pass emscripten options in CMakeList file,https://stackoverflow.com/questions/45260216/emscripten-cmake-pass-emscripten-options-in-cmakelist-file,19,2,14564,2017/7/23 7:29,"c++, cmake, emscripten, webassembly"
69785119,Metamask not connecting to localhost 8545,https://stackoverflow.com/questions/69785119/metamask-not-connecting-to-localhost-8545,10,6,14516,2021/10/31 16:28,"blockchain, ethereum, solidity, metamask, ganache"
65994914,How to approve a token for spending on (Uniswap router contract),https://stackoverflow.com/questions/65994914/how-to-approve-a-token-for-spending-on-uniswap-router-contract,5,1,13943,2021/2/1 22:57,"python, ethereum, web3py"
65846335,How to send ERC20 token to smart contract balance?,https://stackoverflow.com/questions/65846335/how-to-send-erc20-token-to-smart-contract-balance,10,1,13668,2021/1/22 21:42,"javascript, api, ethereum, solidity, erc20"
47023945,What&#39;s the difference between Hyperledger Fabric and Sawtooth?,https://stackoverflow.com/questions/47023945/whats-the-difference-between-hyperledger-fabric-and-sawtooth,37,4,13310,2017/10/31 4:51,"blockchain, hyperledger-fabric, hyperledger"
58121048,MetaMask Web3 ethereum not defined,https://stackoverflow.com/questions/58121048/metamask-web3-ethereum-not-defined,1,2,13124,2019/9/27 0:24,"node.js, reactjs, ethereum, truffle, metamask"
67485324,Solidity - TypeError: Overriding function is missing &quot;override&quot; specifier,https://stackoverflow.com/questions/67485324/solidity-typeerror-overriding-function-is-missing-override-specifier,2,2,13039,2021/5/11 18:54,"ethereum, solidity, binance-smart-chain"
62073437,How to make an API call in solidity?,https://stackoverflow.com/questions/62073437/how-to-make-an-api-call-in-solidity,10,3,12926,2020/5/29 3:55,"api, ethereum, solidity, smartcontracts"
59765945,WASM link error: function signature mismatch,https://stackoverflow.com/questions/59765945/wasm-link-error-function-signature-mismatch,5,1,12710,2020/1/16 16:53,"c++, emscripten, mismatch"
48045784,Solidity setting a mapping to empty,https://stackoverflow.com/questions/48045784/solidity-setting-a-mapping-to-empty,12,2,12670,2018/1/1 5:31,"ethereum, solidity, smartcontracts"
72378647,spl-token: error while loading shared libraries: libssl.so.1.1: cannot open shared object file: No such file or directory,https://stackoverflow.com/questions/72378647/spl-token-error-while-loading-shared-libraries-libssl-so-1-1-cannot-open-shar,5,1,12609,2022/5/25 21:34,"ubuntu, unix, rust, solana, libssl"
33891143,Python 2.7 mixing iteration and read methods would lose data,https://stackoverflow.com/questions/33891143/python-2-7-mixing-iteration-and-read-methods-would-lose-data,4,2,12547,2015/11/24 18:26,"python, python-2.7"
68849313,I can not deploy the program to dev net with anchor,https://stackoverflow.com/questions/68849313/i-can-not-deploy-the-program-to-dev-net-with-anchor,10,4,12507,2021/8/19 22:00,"blockchain, smartcontracts, solana, anchor-solana"
42081194,Where do smart contracts reside in blockchain (Ethereum or Hyperledger),https://stackoverflow.com/questions/42081194/where-do-smart-contracts-reside-in-blockchain-ethereum-or-hyperledger,26,2,12443,2017/2/7 11:26,"storage, blockchain, hyperledger, ethereum, contract"
68989348,Solana : Adding Sollet / Phantom Wallet Connect to my website - Steps?,https://stackoverflow.com/questions/68989348/solana-adding-sollet-phantom-wallet-connect-to-my-website-steps,9,3,12401,2021/8/31 3:22,"wallet, solana"
47529643,How to return a string (or similar) from Rust in WebAssembly?,https://stackoverflow.com/questions/47529643/how-to-return-a-string-or-similar-from-rust-in-webassembly,29,4,12270,2017/11/28 18:47,"rust, webassembly"
49635240,TypeError: WebAssembly Instantiation: Imports argument must be present and must be an object,https://stackoverflow.com/questions/49635240/typeerror-webassembly-instantiation-imports-argument-must-be-present-and-must,10,2,12245,2018/4/4 0:46,webassembly
58131892,Why the JVM cannot be used in place of WebAssembly?,https://stackoverflow.com/questions/58131892/why-the-jvm-cannot-be-used-in-place-of-webassembly,64,4,12126,2019/9/27 17:39,"javascript, jvm, webassembly"
50513963,make: *** No targets specified and no makefile found. Stop. [ubuntu],https://stackoverflow.com/questions/50513963/make-no-targets-specified-and-no-makefile-found-stop-ubuntu,3,2,12089,2018/5/25 0:20,"c++, ubuntu, cmake"
53795971,Solidity - Solidity code to Input JSON Description,https://stackoverflow.com/questions/53795971/solidity-solidity-code-to-input-json-description,10,3,11519,2018/12/16 2:18,"npm, ethereum, solidity, smartcontracts"
68166964,How can you transfer SOL using the web3.js sdk for Solana?,https://stackoverflow.com/questions/68166964/how-can-you-transfer-sol-using-the-web3-js-sdk-for-solana,12,2,11341,2021/6/29 0:30,"javascript, web3js, solana"
62377210,Listening to Uniswap contract events using web3.py and infura.io,https://stackoverflow.com/questions/62377210/listening-to-uniswap-contract-events-using-web3-py-and-infura-io,5,1,11340,2020/6/15 3:23,"python, cryptocurrency, web3py"
59726374,Running a .wasm file in node.js,https://stackoverflow.com/questions/59726374/running-a-wasm-file-in-node-js,11,4,11166,2020/1/14 9:23,"node.js, webassembly"
71808619,ERC20: insufficient allowance,https://stackoverflow.com/questions/71808619/erc20-insufficient-allowance,3,1,10783,2022/4/9 21:45,"blockchain, ethereum, solidity, erc20"
67355967,How to connect Metamask to Angular App using Web3.js?,https://stackoverflow.com/questions/67355967/how-to-connect-metamask-to-angular-app-using-web3-js,6,4,10365,2021/5/2 19:43,"angular, ethereum, web3js, metamask"
67414584,"Error: invalid address (argument=&quot;address&quot;, value=undefined, code=INVALID_ARGUMENT, version=address/5.1.0)",https://stackoverflow.com/questions/67414584/error-invalid-address-argument-address-value-undefined-code-invalid-argume,5,3,10295,2021/5/6 16:35,"solidity, web3js"
68651167,How to get all the NFTs of particular smart contract,https://stackoverflow.com/questions/68651167/how-to-get-all-the-nfts-of-particular-smart-contract,4,1,10259,2021/8/4 20:20,"node.js, request, blockchain, ethereum, nft"
70074736,"Do you need SafeMath in Solidity version 0.8+ , and if not, can you still import it?",https://stackoverflow.com/questions/70074736/do-you-need-safemath-in-solidity-version-0-8-and-if-not-can-you-still-import,5,2,10138,2021/11/23 10:33,"ethereum, solidity, smartcontracts, evm"
66408407,How to interact with a Binance Smart Chain contract using Python,https://stackoverflow.com/questions/66408407/how-to-interact-with-a-binance-smart-chain-contract-using-python,7,0,10086,2021/2/28 19:08,"python, transactions, binance, web3py"
52796222,How to pass an array of objects to WebAssembly and convert it to a vector of structs with wasm-bindgen?,https://stackoverflow.com/questions/52796222/how-to-pass-an-array-of-objects-to-webassembly-and-convert-it-to-a-vector-of-str,22,1,10019,2018/10/14 2:52,"rust, webassembly, serde, wasm-bindgen"
70717996,Blockhash not found when sending transaction,https://stackoverflow.com/questions/70717996/blockhash-not-found-when-sending-transaction,4,4,9955,2022/1/15 8:40,"javascript, blockchain, smartcontracts, solana, solana-web3js"
50580769,What is &#39;0x0&#39; address in Solidity (Ethereum)?,https://stackoverflow.com/questions/50580769/what-is-0x0-address-in-solidity-ethereum,6,1,9822,2018/5/29 17:23,"ethereum, solidity"
56279409,How to fix the error &quot;This declaration shadows an existing declaration&quot; in Solidity?,https://stackoverflow.com/questions/56279409/how-to-fix-the-error-this-declaration-shadows-an-existing-declaration-in-solid,6,3,9745,2019/5/24 0:23,solidity
70460035,Minting NFTs in Solana. Transaction fees,https://stackoverflow.com/questions/70460035/minting-nfts-in-solana-transaction-fees,8,4,9615,2021/12/23 17:23,"solana, candy-machine, solana-web3js"
69248618,How to get proper public address from mnemonic phrase for Solana?,https://stackoverflow.com/questions/69248618/how-to-get-proper-public-address-from-mnemonic-phrase-for-solana,10,2,9587,2021/9/20 10:47,"javascript, blockchain, seed, mnemonics, solana"
62887561,Currently you have no contract instances to interact with,https://stackoverflow.com/questions/62887561/currently-you-have-no-contract-instances-to-interact-with,0,7,9566,2020/7/14 11:23,remix
68646684,can&#39;t install cargo wasm-pack,https://stackoverflow.com/questions/68646684/cant-install-cargo-wasm-pack,15,2,9549,2021/8/4 14:56,"rust, openssl, webassembly, rust-cargo, wasm-pack"
71367683,How to get Transaction Receipt Event Logs?,https://stackoverflow.com/questions/71367683/how-to-get-transaction-receipt-event-logs,1,2,9454,2022/3/6 12:31,"javascript, blockchain, ethereum, solidity, web3js"
71930329,Transaction simulation failed: Error processing Instruction 0: custom program error: 0x0,https://stackoverflow.com/questions/71930329/transaction-simulation-failed-error-processing-instruction-0-custom-program-er,0,2,9288,2022/4/20 3:29,"javascript, reactjs, rust, solana"
53747278,Seamless video loop in gstreamer,https://stackoverflow.com/questions/53747278/seamless-video-loop-in-gstreamer,3,3,9182,2018/12/13 0:24,"python, gstreamer, python-gstreamer"
51403326,How to use WebAssembly from node.js?,https://stackoverflow.com/questions/51403326/how-to-use-webassembly-from-node-js,11,2,9161,2018/7/18 21:30,"node.js, emscripten, webassembly"
61901809,build constraints exclude all Go files,https://stackoverflow.com/questions/61901809/build-constraints-exclude-all-go-files,3,1,9146,2020/5/20 6:26,"go, webassembly"
61376403,Is it faster to draw a series images on a Canvas with WebAssembly?,https://stackoverflow.com/questions/61376403/is-it-faster-to-draw-a-series-images-on-a-canvas-with-webassembly,7,2,9019,2020/4/23 6:51,"javascript, html, html5-canvas, webassembly, emscripten"
70597753,How to find all NFTs minted from a v2 candy machine,https://stackoverflow.com/questions/70597753/how-to-find-all-nfts-minted-from-a-v2-candy-machine,9,1,9015,2022/1/6 2:19,"solana, nft, metaplex, solana-cli, solana-web3js"
63574841,cargo +nightly error : no such subcommand,https://stackoverflow.com/questions/63574841/cargo-nightly-error-no-such-subcommand,7,2,8879,2020/8/25 16:24,"ubuntu, rust, nightly-build"
52740950,How to send wei/eth to contract address? (using truffle javascript test),https://stackoverflow.com/questions/52740950/how-to-send-wei-eth-to-contract-address-using-truffle-javascript-test,4,5,8784,2018/10/10 21:04,"testing, blockchain, ethereum, solidity, truffle"
40904053,Using WebAssembly to call Web API methods,https://stackoverflow.com/questions/40904053/using-webassembly-to-call-web-api-methods,24,1,8763,2016/12/1 14:34,webassembly
55947716,How to read public variable in solidity with truffle test codes?,https://stackoverflow.com/questions/55947716/how-to-read-public-variable-in-solidity-with-truffle-test-codes,3,2,8732,2019/5/2 15:39,"javascript, ethereum, solidity, web3js, truffle"
68599747,rust solana build error: no such subcommand: +bpf,https://stackoverflow.com/questions/68599747/rust-solana-build-error-no-such-subcommand-bpf,16,1,8731,2021/7/31 14:33,"rust, rust-cargo, parrot-os, solana"
68215033,I would like to mint a new token on solana. How can I do this using solana-web3.js?,https://stackoverflow.com/questions/68215033/i-would-like-to-mint-a-new-token-on-solana-how-can-i-do-this-using-solana-web3,10,2,8713,2021/7/2 2:06,"javascript, solana"
67898431,error[E0463]: can&#39;t find crate for `core` while building rust project for wasm32-unknown-unknown,https://stackoverflow.com/questions/67898431/errore0463-cant-find-crate-for-core-while-building-rust-project-for-wasm32,9,1,8707,2021/6/9 14:04,"rust, compilation, webassembly, rust-cargo, wasm-bindgen"
60349051,&quot;RuntimeError : Memory access out of bounds&quot; when trying to save a string in Wasm heap and then saving the pointer to the string in a struct,https://stackoverflow.com/questions/60349051/runtimeerror-memory-access-out-of-bounds-when-trying-to-save-a-string-in-was,0,2,8617,2020/2/22 12:29,"rust, webassembly, wasm-bindgen, wasm-pack, docx-wasm"
69174931,Sending solana transactions with python,https://stackoverflow.com/questions/69174931/sending-solana-transactions-with-python,3,1,8586,2021/9/14 17:04,"python, solana"
50281597,Pass String [ ] to constructor in Solidity,https://stackoverflow.com/questions/50281597/pass-string-to-constructor-in-solidity,4,4,8575,2018/5/11 5:13,"solidity, smartcontracts"
53871470,ReferenceError: WebAssembly is not defined,https://stackoverflow.com/questions/53871470/referenceerror-webassembly-is-not-defined,3,3,8534,2018/12/20 23:22,"node.js, webassembly"
65261654,How do you implement System.Text.Json.Serialization.ReferenceHandler.Preserve in a Blazor WebAssemby application,https://stackoverflow.com/questions/65261654/how-do-you-implement-system-text-json-serialization-referencehandler-preserve-in,12,3,8531,2020/12/12 12:36,"json.net, blazor-webassembly, system.text.json"
51355259,Ethereum Web3.js Invalid JSON RPC response: &quot;&quot;,https://stackoverflow.com/questions/51355259/ethereum-web3-js-invalid-json-rpc-response,4,3,8527,2018/7/16 13:47,"blockchain, ethereum, solidity"
69983608,How to install Solana on Windows?,https://stackoverflow.com/questions/69983608/how-to-install-solana-on-windows,5,6,8525,2021/11/16 12:02,solana
62937502,ethereum ganache is failing with &quot;Exceeds block gas limit&quot; even though I have enough balance,https://stackoverflow.com/questions/62937502/ethereum-ganache-is-failing-with-exceeds-block-gas-limit-even-though-i-have-en,2,1,8524,2020/7/16 22:56,"ethereum, ganache"
58090162,Metamask error: Transaction error. exception thrown in contract code,https://stackoverflow.com/questions/58090162/metamask-error-transaction-error-exception-thrown-in-contract-code,1,2,8478,2019/9/25 9:53,"solidity, smartcontracts, metamask"
70654438,Transaction simulation failed: Attempt to debit an account but found no record of a prior credit,https://stackoverflow.com/questions/70654438/transaction-simulation-failed-attempt-to-debit-an-account-but-found-no-record-o,6,1,8435,2022/1/10 23:01,"solana, candy-machine"
71447421,Encountered an error while attempting to update latest block,https://stackoverflow.com/questions/71447421/encountered-an-error-while-attempting-to-update-latest-block,5,1,8431,2022/3/12 14:16,"blockchain, ethereum, smartcontracts, web3js, truffle"
69382867,How do I get list of tokens owned by me?,https://stackoverflow.com/questions/69382867/how-do-i-get-list-of-tokens-owned-by-me,9,2,8324,2021/9/30 4:18,"json, solana"
69700173,Solana check all spl token balances of a wallet,https://stackoverflow.com/questions/69700173/solana-check-all-spl-token-balances-of-a-wallet,6,3,8320,2021/10/25 3:39,"javascript, node.js, solana"
69701543,How do I load my Solana wallet using my private key file?,https://stackoverflow.com/questions/69701543/how-do-i-load-my-solana-wallet-using-my-private-key-file,6,3,8300,2021/10/25 7:39,"blockchain, smartcontracts, private-key, solana"
69523948,Solana - How to get the balance from my Phantom wallet?,https://stackoverflow.com/questions/69523948/solana-how-to-get-the-balance-from-my-phantom-wallet,7,3,8277,2021/10/11 17:28,"javascript, blockchain, smartcontracts, solana, phantom-wallet"
63457638,sending signTransaction with web3.js. but I can&#39;t confirm this transaction in ganache,https://stackoverflow.com/questions/63457638/sending-signtransaction-with-web3-js-but-i-cant-confirm-this-transaction-in-ga,3,2,8208,2020/8/18 3:46,"ethereum, solidity, truffle, web3js, ganache"
63580860,Error: Transaction has been reverted by the EVM while sending transaction via ropsten infura testnet,https://stackoverflow.com/questions/63580860/error-transaction-has-been-reverted-by-the-evm-while-sending-transaction-via-ro,2,1,8184,2020/8/25 22:17,"javascript, node.js, ethereum, web3js"
70019983,What is difference between internal and private in Solidity?,https://stackoverflow.com/questions/70019983/what-is-difference-between-internal-and-private-in-solidity,11,3,8172,2021/11/18 20:38,"blockchain, solidity, smartcontracts"
68083014,Failing to decode transaction&#39;s data,https://stackoverflow.com/questions/68083014/failing-to-decode-transactions-data,2,2,8152,2021/6/22 19:48,"testing, ethereum, solidity, ethers.js, hardhat"
70406575,What is &quot;Signature Verification Failed&quot; in Solana?,https://stackoverflow.com/questions/70406575/what-is-signature-verification-failed-in-solana,7,3,8106,2021/12/19 3:44,"javascript, solana"
70820082,Module not found: Error: Can&#39;t resolve &#39;crypto&#39; in &#39;C:\,https://stackoverflow.com/questions/70820082/module-not-found-error-cant-resolve-crypto-in-c,2,1,8100,2022/1/23 15:42,"javascript, reactjs, webpack, solana"
69463898,Flag provided but not defined: -rpc,https://stackoverflow.com/questions/69463898/flag-provided-but-not-defined-rpc,13,3,8065,2021/10/6 18:21,geth
49786810,How can i debug wasm at chrome?,https://stackoverflow.com/questions/49786810/how-can-i-debug-wasm-at-chrome,6,3,7991,2018/4/12 9:56,webassembly
